        20
         5
         4
       500       500       500       500       500       500       500       500       500       500       500       500       500       500       500       500       500       500       500       500
         0       119      0.25         1         1
         0       109      0.25         1         1
         0        87      0.25         1         1
         0        89      0.25         1         1
         0       111      0.25         1         1
        41        59        48        52        42        55        56        49        44        40        50        49        48        43        49        49        53        43        51        56
        41        47        50        47        58        49        55        45        58        41        48        48        53        41        53        53        52        59        51        58
        53        56        54        54        54        46        42        42        53        48        40        44        55        46        55        57        53        59        51        48
        44        42        44        45        57        52        48        59        53        57        43        53        45        59        51        46        54        50        46        57
        51        52        45        46        46        55        48        55        58        51        52        56        46        52        56        40        44        52        58        52
       100     12.50
       100     12.50
       100     12.50
       100     12.50
     0.625     0.625     0.625     0.625
     0.625     0.625     0.625     0.625
     0.625     0.625     0.625     0.625
     0.625     0.625     0.625     0.625
     0.625     0.625     0.625     0.625
         1         1         1         1
         1         1         1         1
         1         1         1         1
         1         1         1         1
         1         1         1         1
         1         1         1         1         1
         1         1         1         1         1
         1         1         1         1         1
         1         1         1         1         1
         1         1         1         1         1
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0



_________________________________________
CLSP-MSL_T_I = 20  5

T
I
L
Cap_t
vc_i   sc_i   hc_i   vt_i   cs_i
d_it
H_l   g_l
ha_il
alpha_il
beta_ij
r_ilk
_________________________________________
