        25
         5
         4
       500       500       500       500       500       500       500       500       500       500       500       500       500       500       500       500       500       500       500       500       500       500       500       500       500
         0       117      0.25         1         1
         0        89      0.25         1         1
         0        89      0.25         1         1
         0       116      0.25         1         1
         0        99      0.25         1         1
        53        49        48        52        43        42        43        53        58        55        40        47        47        47        40        59        57        53        58        57        49        44        49        54        47
        56        48        57        50        49        50        49        59        59        46        49        41        40        58        46        50        58        50        53        53        56        52        45        45        40
        56        41        45        58        46        40        51        54        52        52        55        56        43        46        45        45        48        54        50        53        59        58        50        57        53
        44        45        43        54        50        52        42        55        59        55        54        48        44        52        55        53        53        48        49        44        42        43        58        49        44
        59        56        56        50        41        41        58        41        45        57        58        54        43        43        58        50        58        43        47        55        52        54        57        57        43
       100     12.50
       100     12.50
       100     12.50
       100     12.50
     0.625     0.625     0.625     0.625
     0.625     0.625     0.625     0.625
     0.625     0.625     0.625     0.625
     0.625     0.625     0.625     0.625
     0.625     0.625     0.625     0.625
         1         1         1         1
         1         1         1         1
         1         1         1         1
         1         1         1         1
         1         1         1         1
         1         1         1         1         1
         1         1         1         1         1
         1         1         1         1         1
         1         1         1         1         1
         1         1         1         1         1
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0



_________________________________________
CLSP-MSL_T_I = 25  5

T
I
L
Cap_t
vc_i   sc_i   hc_i   vt_i   cs_i
d_it
H_l   g_l
ha_il
alpha_il
beta_ij
r_ilk
_________________________________________
