        15
        10
         4
      1000      1000      1000      1000      1000      1000      1000      1000      1000      1000      1000      1000      1000      1000      1000
         0        86      0.25         1         1
         0       114      0.25         1         1
         0       113      0.25         1         1
         0       116      0.25         1         1
         0       100      0.25         1         1
         0       108      0.25         1         1
         0       118      0.25         1         1
         0       106      0.25         1         1
         0       106      0.25         1         1
         0       104      0.25         1         1
        55        55        46        54        48        52        40        53        50        53        58        43        55        56        50
        51        43        44        51        41        51        43        41        43        54        57        55        50        56        42
        56        49        48        54        41        56        41        40        55        40        54        47        40        41        58
        53        40        49        59        43        52        58        53        40        58        48        41        59        45        51
        43        57        42        56        49        41        54        57        40        57        46        43        56        47        45
        49        43        49        56        56        58        41        44        41        47        55        47        51        55        42
        44        49        58        45        54        57        53        43        41        57        49        53        49        40        59
        59        57        52        43        53        46        56        53        54        46        54        58        41        58        57
        41        51        44        58        41        57        48        40        54        43        51        47        59        49        57
        59        49        49        56        40        43        42        58        51        49        46        40        48        50        51
       200     12.50
       200     12.50
       200     12.50
       200     12.50
     0.625     0.625     0.625     0.625
     0.625     0.625     0.625     0.625
     0.625     0.625     0.625     0.625
     0.625     0.625     0.625     0.625
     0.625     0.625     0.625     0.625
     0.625     0.625     0.625     0.625
     0.625     0.625     0.625     0.625
     0.625     0.625     0.625     0.625
     0.625     0.625     0.625     0.625
     0.625     0.625     0.625     0.625
         1         0         1         0
         0         1         1         1
         1         1         1         1
         1         1         1         0
         0         1         0         1
         1         0         1         1
         1         1         0         1
         1         1         1         0
         1         0         1         1
         0         0         1         1
         1         1         0         0         0         0         0         0         1         0
         1         1         1         0         1         1         1         0         0         1
         0         1         1         1         0         1         1         0         1         1
         0         0         1         1         1         1         1         1         1         1
         0         1         0         1         1         1         1         1         1         1
         0         1         1         1         1         1         0         0         1         0
         0         1         1         1         1         0         1         1         0         0
         0         0         0         1         1         0         1         1         1         0
         1         0         1         1         1         1         0         1         1         1
         0         1         1         1         1         0         0         0         1         1
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0
         0    0.0625    0.0625    0.0625
    0.0625         0    0.0625    0.0625
    0.0625    0.0625         0    0.0625
    0.0625    0.0625    0.0625         0



__________________________________________
CLSP-MSL_T_I_compIL_compII = 15_10_70_70

T
I
L
Cap_t
vc_i   sc_i   hc_i   vt_i   cs_i
d_it
H_l   g_l
ha_il
alpha_il
beta_ij
r_ilk
__________________________________________
